TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1469474526,North Station,415,Fitchburg,1469475000,0,9,Now Boarding
1469474526,North Station,113,Rockport,1469475420,0,,On Time
1469474526,North Station,325,Lowell,1469475600,0,,On Time
1469474526,North Station,291,Reading,1469476200,0,,On Time
1469474526,North Station,493,Littleton / Rte 495,1469476740,0,,On Time
1469474526,North Station,327,Lowell,1469477400,0,,On Time
1469474526,North Station,115,Rockport,1469477700,0,,On Time
1469474526,North Station,393,Anderson/ Woburn,1469478000,0,,Cancelled
1469474526,North Station,167,Newburyport,1469478600,0,,On Time
1469474526,North Station,417,Fitchburg,1469478600,0,,On Time
1469474526,North Station,213,Haverhill,1469478600,0,,On Time
1469474526,North Station,193,Beverly,1469479200,0,,On Time
1469474526,North Station,329,Lowell,1469479500,0,,On Time
1469474526,North Station,293,Reading,1469479680,0,,On Time
1469474526,North Station,117,Rockport,1469480400,0,,On Time
1469474526,North Station,419,Fitchburg,1469480400,0,,On Time
1469474526,North Station,331,Lowell,1469481000,0,,On Time
1469474526,North Station,215,Haverhill,1469481300,0,,On Time
1469474526,North Station,169,Newburyport,1469481300,0,,On Time
1469474526,South Station,817,Wickford Junction,1469474700,0,8,Now Boarding
1469474526,South Station,771,Readville,1469475000,0,10,Now Boarding
1469474526,South Station,517,Worcester / Union Station,1469475000,0,3,Now Boarding
1469474526,South Station,913,Stoughton,1469475300,0,,On Time
1469474526,South Station,589,Framingham,1469475600,0,,On Time
1469474526,South Station,17,Middleboro/ Lakeville,1469475780,0,,On Time
1469474526,South Station,715,Forge Park / 495,1469476200,0,,On Time
1469474526,South Station,819,Providence,1469476500,0,,On Time
1469474526,South Station,81,Greenbush,1469476920,0,,On Time
1469474526,South Station,615,Needham Heights,1469477100,0,,On Time
1469474526,South Station,773,Readville,1469477700,0,,On Time
1469474526,South Station,743,Norwood Central,1469477700,0,,On Time
1469474526,South Station,915,Stoughton,1469478000,0,,On Time
1469474526,South Station,43,Kingston,1469478000,0,,On Time
1469474526,South Station,519,Worcester / Union Station,1469478300,0,,On Time
1469474526,South Station,821,Wickford Junction,1469478600,0,,On Time
1469474526,South Station,591,Framingham,1469478900,0,,On Time
1469474526,South Station,19,Middleboro/ Lakeville,1469479200,0,,On Time
1469474526,South Station,717,Forge Park / 495,1469479500,0,,On Time
